int		int
identifier		c
assignmentOperator		=
integer		100
;		;
while		while
(		(
identifier		c
integer		0
)		)
{		{
if		if
(		(
identifier		v
relationalOperator		!=
integer		0
)		)
identifier		u
assignmentOperator		=
identifier		v
;		;
else		else
if		if
(		(
identifier		v
relationalOperator		==
integer		0
)		)
identifier		u
assignmentOperator		=
identifier		u
arithmeticOperator		-
identifier		u
operator		/
identifier		v
identifier		v
;		;
identifier		c
assignmentOperator		-=
integer		1
;		;
}		}
